0.664756, -0.008748, 0.011360, 0.023534 
0.667685, -0.007966, 0.012275, 0.022848 
0.670647, -0.008254, 0.013189, 0.022009 
0.673569, -0.008235, 0.012424, 0.021324 
0.676523, -0.008370, 0.013185, 0.021554 
0.679445, -0.007894, 0.013336, 0.021784 
0.682400, -0.007876, 0.012419, 0.023388 
0.685322, -0.008468, 0.011959, 0.023618 
0.688279, -0.009214, 0.011499, 0.024001 
0.691198, -0.010112, 0.011650, 0.024689 
0.694161, -0.010857, 0.010274, 0.024156 
0.697092, -0.010533, 0.011036, 0.025455 
0.700060, -0.011126, 0.011187, 0.026601 
0.702986, -0.011413, 0.009811, 0.026373 
0.705948, -0.011242, 0.009351, 0.026145 
0.708880, -0.010766, 0.008891, 0.026375 
0.711836, -0.011817, 0.009653, 0.026300 
0.714766, -0.012562, 0.009804, 0.026988 
0.717722, -0.011933, 0.009344, 0.026608 
0.720651, -0.012373, 0.009342, 0.026990 
0.723607, -0.011592, 0.009341, 0.027373 
0.726538, -0.011268, 0.009186, 0.027145 
0.729490, -0.010334, 0.008879, 0.026765 
0.732418, -0.009705, 0.008572, 0.026231 
0.735366, -0.009229, 0.009334, 0.026614 
0.738291, -0.009822, 0.010706, 0.025318 
0.741238, -0.009956, 0.011467, 0.025395 
0.744179, -0.009327, 0.011008, 0.026541 
0.747130, -0.009920, 0.011464, 0.028298 
0.750070, -0.009902, 0.011309, 0.029139 
0.753025, -0.009578, 0.011308, 0.028911 
0.755960, -0.010018, 0.010848, 0.028378 
0.758918, -0.010458, 0.010999, 0.028608 
0.761859, -0.010287, 0.010844, 0.029296 
0.764820, -0.011643, 0.010843, 0.029526 
0.767758, -0.011320, 0.011452, 0.028230 
0.770717, -0.011912, 0.012366, 0.028002 
0.773645, -0.012352, 0.011601, 0.028843 
0.776602, -0.011418, 0.010683, 0.029073 
0.779536, -0.011705, 0.011139, 0.030066 
0.782489, -0.010161, 0.012054, 0.030754 
0.785418, -0.010906, 0.011288, 0.030068 
0.788370, -0.011346, 0.011439, 0.029840 
0.791303, -0.011175, 0.011896, 0.030376 
0.794248, -0.012531, 0.013268, 0.030759 
0.797180, -0.012207, 0.012503, 0.030836 
0.800142, -0.012495, 0.013112, 0.031372 
0.803077, -0.012476, 0.014789, 0.031907 
0.806036, -0.013374, 0.014024, 0.031527 
0.808974, -0.013967, 0.012190, 0.030993 
0.811917, -0.013033, 0.012189, 0.031223 
0.814855, -0.014236, 0.012187, 0.030690 
0.817820, -0.015592, 0.012948, 0.030310 
0.820755, -0.015116, 0.013252, 0.031150 
0.823718, -0.015708, 0.013250, 0.031839 
0.826653, -0.016454, 0.012791, 0.032679 
0.829613, -0.017352, 0.013247, 0.032299 
0.832542, -0.017944, 0.014161, 0.032529 
0.835501, -0.017621, 0.013549, 0.032606 
0.838431, -0.018824, 0.013547, 0.033600 
0.841384, -0.020333, 0.013392, 0.034288 
0.844314, -0.020162, 0.013085, 0.034060 
0.847266, -0.021365, 0.014152, 0.033985 
0.850198, -0.020584, 0.014914, 0.034062 
0.853160, -0.020718, 0.015523, 0.035056 
0.856093, -0.020853, 0.014910, 0.035439 
0.859056, -0.020987, 0.014298, 0.037654 
0.861996, -0.020816, 0.014143, 0.038800 
0.864958, -0.021409, 0.015668, 0.039946 
0.867894, -0.020475, 0.014903, 0.040939 
0.870856, -0.020304, 0.016734, 0.040864 
0.873797, -0.020133, 0.017037, 0.041400 
0.876757, -0.020726, 0.017035, 0.041019 
0.879693, -0.022387, 0.017950, 0.042623 
0.882647, -0.023590, 0.017795, 0.042548 
0.885587, -0.024030, 0.017336, 0.042931 
0.888537, -0.024623, 0.017792, 0.043466 
0.891472, -0.024147, 0.018401, 0.044154 
0.894422, -0.023671, 0.018704, 0.044232 
0.897352, -0.023194, 0.017787, 0.042477 
0.900306, -0.023176, 0.017632, 0.042860 
0.903233, -0.022547, 0.017630, 0.042632 
0.906185, -0.022835, 0.017476, 0.042710 
0.909118, -0.021137, 0.016863, 0.042482 
0.912082, -0.021119, 0.016709, 0.042407 
0.915017, -0.020490, 0.017165, 0.042789 
0.917976, -0.019709, 0.017622, 0.043325 
0.920912, -0.018622, 0.017772, 0.043860 
0.923872, -0.017535, 0.018076, 0.043174 
0.926819, -0.018280, 0.018227, 0.044473 
0.929781, -0.019331, 0.018073, 0.043482 
0.932717, -0.020229, 0.017307, 0.043559 
0.935673, -0.020821, 0.018374, 0.043942 
0.938592, -0.020040, 0.018678, 0.044630 
0.941549, -0.020327, 0.019134, 0.044250 
0.944481, -0.019851, 0.018064, 0.043564 
0.947438, -0.019680, 0.018367, 0.043031 
